iter	Passed	Remaining
0	167	166931
1	326	162992
2	469	156188
3	600	149635
4	698	139076
5	862	142823
6	966	137163
7	1055	130939
8	1208	133040
9	1355	134209
10	1484	133433
11	1691	139299
12	1777	134952
13	1849	130247
14	1916	125860
15	2001	123111
16	2078	120210
17	2148	117223
18	2220	114656
19	2301	112787
20	2516	117335
21	2662	118372
22	2758	117179
23	2854	116078
24	3004	117182
25	3129	117229
26	3203	115460
27	3337	115854
28	3471	116251
29	3603	116523
30	3722	116349
31	3869	117056
32	4043	118483
33	4134	117465
34	4261	117489
35	4397	117751
36	4586	119360
37	4818	121990
38	4975	122613
39	5103	122483
40	5240	122583
41	5410	123417
42	5532	123134
43	5702	123896
44	5832	123783
45	5964	123705
46	6119	124078
47	6309	125129
48	6445	125102
49	6617	125726
50	6845	127375
51	7046	128463
52	7179	128289
53	7330	128424
54	7488	128667
55	7644	128871
56	7784	128787
57	7959	129276
58	8097	129154
59	8250	129256
60	8407	129426
61	8595	130047
62	8740	130004
63	8883	129916
64	9069	130458
65	9375	132678
66	9455	131674
67	9534	130675
68	9606	129616
69	9675	128551
70	9746	127524
71	9818	126550
72	9888	125565
73	9960	124644
74	10041	123849
75	10118	123020
76	10204	122324
77	10312	121894
78	10396	121209
79	10552	121348
80	10718	121606
81	10812	121044
82	10947	120952
83	11024	120217
84	11146	119992
85	11283	119919
86	11420	119851
87	11553	119735
88	11659	119348
89	11798	119296
90	11935	119223
91	12025	118686
92	12134	118344
93	12400	119517
94	12497	119057
95	12629	118923
96	12774	118923
97	12900	118733
98	13036	118645
99	13094	117848
100	13233	117794
101	13370	117712
102	13441	117062
103	13572	116934
104	13706	116835
105	13832	116663
106	13963	116532
107	14072	116228
108	14174	115870
109	14307	115759
110	14409	115405
111	14568	115509
112	14644	114956
113	14763	114740
114	14919	114812
115	15045	114653
116	15132	114207
117	15197	113596
118	15248	112888
119	15299	112198
120	15352	111526
121	15407	110884
122	15459	110227
123	15513	109594
124	15571	109000
125	15632	108433
126	15682	107799
127	15737	107212
128	15795	106648
129	15854	106101
130	15912	105557
131	16020	105349
132	16098	104945
133	16155	104408
134	16209	103858
135	16270	103362
136	16330	102867
137	16387	102364
138	16447	101882
139	16509	101417
140	16577	100994
141	16646	100582
142	16720	100203
143	16800	99870
144	16889	99588
145	16997	99426
146	17110	99288
147	17178	98893
148	17241	98470
149	17303	98054
150	17375	97691
151	17441	97307
152	17517	96974
153	17639	96904
154	17761	96828
155	17913	96919
156	18019	96753
157	18139	96669
158	18232	96437
159	18358	96380
160	18496	96389
161	18626	96351
162	18690	95975
163	18829	95984
164	18948	95891
165	19071	95819
166	19195	95749
167	19329	95727
168	19474	95757
169	19609	95741
170	19731	95656
171	19899	95796
172	20037	95787
173	20105	95442
174	20235	95394
175	20371	95377
176	20590	95738
177	20789	96003
178	20966	96166
179	21111	96172
180	21316	96456
181	21479	96541
182	21765	97171
183	21984	97494
184	22139	97531
185	22218	97236
186	22294	96925
187	22345	96512
188	22399	96115
189	22458	95745
190	22615	95789
191	22726	95640
192	22791	95298
193	22850	94934
194	22908	94570
195	22965	94207
196	23024	93849
197	23080	93488
198	23142	93151
199	23213	92853
200	23278	92533
201	23340	92205
202	23401	91875
203	23463	91552
204	23525	91232
205	23586	90911
206	23642	90572
207	23708	90272
208	23765	89944
209	23825	89628
210	23885	89316
211	23946	89009
212	24004	88693
213	24062	88378
214	24129	88102
215	24194	87818
216	24251	87507
217	24306	87191
218	24360	86875
219	24419	86578
220	24488	86318
221	24553	86046
222	24612	85756
223	24668	85458
224	24724	85163
225	24787	84891
226	24851	84626
227	24914	84359
228	24977	84092
229	25038	83823
230	25101	83562
231	25163	83299
232	25224	83035
233	25285	82773
234	25346	82511
235	25407	82252
236	25467	81989
237	25529	81737
238	25593	81493
239	25654	81238
240	25718	80997
241	25789	80779
242	25851	80532
243	25919	80308
244	25992	80100
245	26065	79892
246	26194	79855
247	26354	79913
248	26489	79893
249	26626	79880
250	26779	79912
251	26946	79982
252	27082	79961
253	27198	79880
254	27339	79873
255	27484	79876
256	27567	79699
257	27705	79679
258	27995	80094
259	28330	80633
260	28642	81097
261	28712	80876
262	28773	80631
263	28840	80403
264	28905	80170
265	28969	79937
266	29031	79701
267	29096	79473
268	29165	79257
269	29244	79069
270	29312	78852
271	29398	78685
272	29481	78510
273	29564	78334
274	29705	78315
275	29887	78400
276	30026	78371
277	30182	78387
278	30305	78315
279	30446	78291
280	30571	78222
281	30694	78151
282	30883	78244
283	31065	78320
284	31178	78220
285	31291	78120
286	31415	78046
287	31566	78039
